event_day,start_time_hour,query_nums,bonus_nums
20221020,14,935,22
20221020,15,1058,31
20221020,16,1213,27
20221020,17,1619,35
20221020,18,1555,43
20221020,19,1018,21
20221020,20,810,39
20221020,21,634,21
20221020,22,385,17
20221020,23,300,17
20221021,0,216,3
20221021,1,127,7
20221021,2,104,6
20221021,3,68,4
20221021,4,54,1
20221021,5,44,0
20221021,6,138,3
20221021,7,769,30
20221021,8,1035,21
20221021,9,984,18
20221021,10,907,22
20221021,11,1050,30
20221021,12,1252,38
20221021,13,1228,26
20221021,14,1342,23
20221021,15,1341,37
20221021,16,1691,63
20221021,17,2055,54
20221021,18,1762,52
20221021,19,1242,36
20221021,20,1013,49
20221021,21,790,35
20221021,22,542,29
20221021,23,308,16
20221022,0,255,14
20221022,1,137,4
20221022,2,100,7
20221022,3,88,3
20221022,4,67,1
20221022,5,41,1
20221022,6,145,5
20221022,7,535,15
20221022,8,990,32
20221022,9,1032,21
20221022,10,1162,24
20221022,11,1254,27
20221022,12,1223,34
20221022,13,1286,20
20221022,14,1349,31
20221022,15,1263,28
20221022,16,1569,34
20221022,17,1798,34
20221022,18,1728,40
20221022,19,1310,37
20221022,20,1137,65
20221022,21,869,47
20221022,22,524,30
20221022,23,338,16
20221023,0,287,12
20221023,1,172,9
20221023,2,100,2
20221023,3,77,8
20221023,4,47,2
20221023,5,54,2
20221023,6,135,2
20221023,7,534,10
20221023,8,968,16
20221023,9,1198,16
20221023,10,1138,21
20221023,11,1374,25
20221023,12,1440,26
20221023,13,1470,33
20221023,14,1515,29
20221023,15,1396,36
20221023,16,1515,36
20221023,17,1717,39
20221023,18,1445,36
20221023,19,1089,39
20221023,20,784,50
20221023,21,641,34
20221023,22,370,16
20221023,23,258,10
20221024,0,221,13
20221024,1,163,3
20221024,2,89,0
20221024,3,61,4
20221024,4,51,1
20221024,5,50,0
20221024,6,172,4
20221024,7,726,21
20221024,8,1005,40
20221024,9,962,15
20221024,10,922,23
20221024,11,966,19
20221024,12,1133,25
20221024,13,1038,17
20221024,14,1145,25
20221024,15,1025,30
20221024,16,1293,33
20221024,17,1565,41
20221024,18,1388,18
20221024,19,951,30
20221024,20,820,33
20221024,21,564,28
20221024,22,362,10
20221024,23,282,15
20221025,0,197,11
20221025,1,134,5
20221025,2,98,0
20221025,3,53,1
20221025,4,31,1
20221025,5,58,1
20221025,6,146,4
20221025,7,685,19
20221025,8,949,13
20221025,9,718,19
20221025,10,558,15
20221025,11,554,10
20221025,12,654,16
20221025,13,647,13
20221025,14,827,15
20221025,15,807,21
20221025,16,961,32
20221025,17,1159,33
20221025,18,1100,18
20221025,19,732,36
20221025,20,615,22
20221025,21,369,18
20221025,22,291,12
20221025,23,245,8
20221026,0,184,1
20221026,1,113,6
20221026,2,87,5
20221026,3,55,2
20221026,4,35,2
20221026,5,35,2
20221026,6,133,2
20221026,7,529,9
20221026,8,816,24
20221026,9,758,15
20221026,10,756,17
20221026,11,845,21
20221026,12,916,16
20221026,13,993,23
20221026,14,1049,19
20221026,15,983,20
20221026,16,1070,32
20221026,17,1423,50
20221026,18,1386,30
20221026,19,931,24
20221026,20,640,21
20221026,21,587,26
20221026,22,363,22
20221026,23,243,9
20221027,0,188,12
20221027,1,111,3
20221027,2,88,1
20221027,3,66,5
20221027,4,38,0
20221027,5,36,0
20221027,6,124,1
20221027,7,735,30
20221027,8,850,20
20221027,9,722,22
20221027,10,727,13
20221027,11,766,11
20221027,12,916,13
20221027,13,758,13
20221027,14,986,6
20221027,15,996,17
20221027,16,1004,12
20221027,17,1174,14
20221027,18,1262,19
20221027,19,665,17
20221027,20,602,19
20221027,21,492,8
20221027,22,319,8
20221027,23,210,6
20221028,0,151,5
20221028,1,89,1
20221028,2,105,5
20221028,3,75,4
20221028,4,49,0
20221028,5,61,0
20221028,6,160,4
20221028,7,731,18
20221028,8,1094,18
20221028,9,1054,17
20221028,10,928,5
20221028,11,1077,23
20221028,12,1157,28
20221028,13,1115,12
20221028,14,1233,23
20221028,15,1316,26
20221028,16,1466,25
20221028,17,1756,24
20221028,18,1434,37
20221028,19,1087,15
20221028,20,826,35
20221028,21,731,44
20221028,22,447,11
20221028,23,269,10
20221029,0,243,6
20221029,1,118,1
20221029,2,105,9
20221029,3,51,0
20221029,4,37,0
20221029,5,38,1
20221029,6,121,1
20221029,7,521,8
20221029,8,887,10
20221029,9,1037,21
20221029,10,1062,11
20221029,11,1272,19
20221029,12,1322,11
20221029,13,1378,42
20221029,14,1483,25
20221029,15,1650,23
20221029,16,1601,36
20221029,17,1890,29
20221029,18,1830,16
20221029,19,1250,20
20221029,20,938,27
20221029,21,831,27
20221029,22,521,18
20221029,23,342,9
20221030,0,286,13
20221030,1,160,7
20221030,2,102,5
20221030,3,60,4
20221030,4,61,1
20221030,5,92,0
20221030,6,115,1
20221030,7,445,7
20221030,8,831,14
20221030,9,1069,13
20221030,10,1144,18
20221030,11,1532,29
20221030,12,1570,26
20221030,13,1723,33
20221030,14,1890,41
20221030,15,1821,32
20221030,16,2025,30
20221030,17,1968,30
20221030,18,1719,29
20221030,19,1080,18
20221030,20,811,28
20221030,21,603,17
20221030,22,408,19
20221030,23,246,6
20221031,0,189,3
20221031,1,107,3
20221031,2,53,1
20221031,3,36,0
20221031,4,38,1
20221031,5,46,0
20221031,6,189,3
20221031,7,722,20
20221031,8,1048,8
20221031,9,1130,14
20221031,10,1053,20
20221031,11,1133,17
20221031,12,1254,15
20221031,13,1159,18
20221031,14,1365,18
20221031,15,1312,18
20221031,16,1492,30
20221031,17,1734,22
20221031,18,1468,30
20221031,19,983,16
20221031,20,758,21
20221031,21,645,18
20221031,22,383,16
20221031,23,281,4
20221101,0,184,0
20221101,1,106,0
20221101,2,107,0
20221101,3,48,0
20221101,4,40,0
20221101,5,49,0
20221101,6,142,0
20221101,7,769,2
20221101,8,1134,18
20221101,9,1020,18
20221101,10,945,21
20221101,11,1213,11
20221101,12,1225,20
20221101,13,1159,12
20221101,14,1295,15
20221101,15,1142,8
20221101,16,1244,20
20221101,17,1785,25
20221101,18,1634,14
20221101,19,1082,28
20221101,20,809,20
20221101,21,611,18
20221101,22,352,16
20221101,23,265,8
20221102,0,196,6
20221102,1,132,4
20221102,2,107,2
20221102,3,57,0
20221102,4,49,1
20221102,5,39,0
20221102,6,163,3
20221102,7,762,13
20221102,8,1113,10
20221102,9,1005,9
20221102,10,895,11
20221102,11,1124,24
20221102,12,1177,19
20221102,13,1079,10
20221102,14,1293,29
20221102,15,1224,22
20221102,16,1343,12
20221102,17,1775,23
20221102,18,1537,27
20221102,19,1093,18
20221102,20,842,29
20221102,21,720,17
20221102,22,382,12
20221102,23,283,7
20221103,0,211,8
20221103,1,152,1
20221103,2,79,0
20221103,3,69,5
20221103,4,40,2
20221103,5,56,2
20221103,6,136,4
20221103,7,749,14
20221103,8,1240,18
20221103,9,1087,17
20221103,10,965,6
20221103,11,969,9
20221103,12,1109,5
20221103,13,1140,17
20221103,14,1199,27
20221103,15,988,15
20221103,16,1130,16
20221103,17,1594,38
20221103,18,1439,38
20221103,19,960,20
20221103,20,750,22
20221103,21,551,35
20221103,22,330,14
20221103,23,248,8
20221104,0,204,6
20221104,1,115,6
20221104,2,75,1
20221104,3,58,0
20221104,4,43,1
20221104,5,43,0
20221104,6,154,3
20221104,7,607,9
20221104,8,752,9
20221104,9,584,12
20221104,10,548,8
20221104,11,671,8
20221104,12,656,20
20221104,13,657,6
20221104,14,787,20
20221104,15,907,21
20221104,16,1103,24
20221104,17,1403,36
20221104,18,1302,37
20221104,19,874,13
20221104,20,736,28
20221104,21,572,23
20221104,22,324,12
20221104,23,219,1
20221105,0,224,14
20221105,1,100,8
20221105,2,73,3
20221105,3,58,5
20221105,4,49,2
20221105,5,54,0
20221105,6,130,2
20221105,7,422,8
20221105,8,827,18
20221105,9,777,10
20221105,10,848,22
20221105,11,867,13
20221105,12,930,12
20221105,13,1142,20
20221105,14,977,15
20221105,15,1106,21
20221105,16,1420,26
20221105,17,1479,21
20221105,18,1402,33
20221105,19,1052,33
20221105,20,834,14
20221105,21,713,21
20221105,22,500,13
20221105,23,292,3
20221106,0,195,9
20221106,1,145,3
20221106,2,83,1
20221106,3,59,1
20221106,4,54,2
20221106,5,33,0
20221106,6,93,4
20221106,7,405,6
20221106,8,760,10
20221106,9,816,12
20221106,10,975,22
20221106,11,1140,19
20221106,12,946,17
20221106,13,1236,28
20221106,14,1191,29
20221106,15,1096,14
20221106,16,1166,33
20221106,17,1195,28
20221106,18,1165,21
20221106,19,849,15
20221106,20,649,15
20221106,21,503,9
20221106,22,303,1
20221106,23,202,3
20221107,0,183,9
20221107,1,138,6
20221107,2,100,12
20221107,3,75,4
20221107,4,66,3
20221107,5,82,0
20221107,6,165,3
20221107,7,600,11
20221107,8,811,18
20221107,9,898,9
20221107,10,773,12
20221107,11,835,9
20221107,12,846,10
20221107,13,808,13
20221107,14,963,6
20221107,15,794,3
20221107,16,944,17
20221107,17,1181,26
20221107,18,1028,8
20221107,19,690,11
20221107,20,561,18
20221107,21,451,7
20221107,22,265,6
20221107,23,165,3
20221108,0,155,2
20221108,1,87,0
20221108,2,55,0
20221108,3,41,2
20221108,4,34,0
20221108,5,28,0
20221108,6,91,1
20221108,7,475,15
20221108,8,744,20
20221108,9,675,17
20221108,10,645,20
20221108,11,812,20
20221108,12,838,21
20221108,13,782,13
20221108,14,667,12
20221108,15,526,19
20221108,16,571,13
20221108,17,844,22
20221108,18,800,13
20221108,19,541,25
20221108,20,446,9
20221108,21,358,4
20221108,22,192,10
20221108,23,138,3
20221109,0,137,7
20221109,1,84,4
20221109,2,68,3
20221109,3,38,1
20221109,4,22,1
20221109,5,29,0
20221109,6,78,1
20221109,7,426,17
20221109,8,551,24
20221109,9,482,19
20221109,10,477,26
20221109,11,547,21
20221109,12,580,23
20221109,13,600,19
20221109,14,633,24
20221109,15,531,15
20221109,16,703,15
20221109,17,811,27
20221109,18,751,36
20221109,19,513,12
20221109,20,471,7
20221109,21,361,7
20221109,22,213,4
20221109,23,130,3
20221110,0,128,7
20221110,1,65,4
20221110,2,47,3
20221110,3,44,0
20221110,4,25,1
20221110,5,24,0
20221110,6,101,3
20221110,7,417,18
20221110,8,584,28
20221110,9,443,21
20221110,10,409,24
20221110,11,836,31
20221110,12,874,27
20221110,13,998,24
20221110,14,959,15
20221110,15,827,18
20221110,16,1019,36
20221110,17,1361,30
20221110,18,1338,48
20221110,19,976,28
20221110,20,870,24
20221110,21,735,9
20221110,22,405,9
20221110,23,243,5
20221111,0,217,3
20221111,1,119,4
20221111,2,80,2
20221111,3,59,3
20221111,4,42,3
20221111,5,44,2
20221111,6,159,1
20221111,7,784,32
20221111,8,927,37
20221111,9,783,19
20221111,10,740,26
20221111,11,929,41
20221111,12,1026,17
20221111,13,1046,40
20221111,14,1017,18
20221111,15,1194,25
20221111,16,1426,42
20221111,17,1621,55
20221111,18,1596,49
20221111,19,1159,30
20221111,20,1004,22
20221111,21,827,15
20221111,22,526,13
20221111,23,416,18
20221112,0,302,10
20221112,1,166,8
20221112,2,141,4
20221112,3,96,1
20221112,4,53,0
20221112,5,64,0
20221112,6,178,7
20221112,7,473,22
20221112,8,683,23
20221112,9,640,9
20221112,10,759,31
20221112,11,804,29
20221112,12,891,20
20221112,13,929,26
20221112,14,1049,25
20221112,15,936,16
20221112,16,1095,24
20221112,17,1249,37
20221112,18,1338,42
20221112,19,972,27
20221112,20,704,27
20221112,21,582,14
20221112,22,375,2
20221112,23,234,4
20221113,0,198,5
20221113,1,90,5
20221113,2,79,1
20221113,3,76,3
20221113,4,69,2
20221113,5,70,2
20221113,6,146,8
20221113,7,404,14
20221113,8,702,19
20221113,9,771,29
20221113,10,929,21
20221113,11,948,22
20221113,12,949,19
20221113,13,1179,21
20221113,14,1293,22
20221113,15,1192,35
20221113,16,1289,16
20221113,17,1134,22
20221113,18,1202,17
20221113,19,765,15
20221113,20,594,18
20221113,21,519,9
20221113,22,334,7
20221113,23,214,3
20221114,0,161,4
20221114,1,103,2
20221114,2,96,3
20221114,3,53,1
20221114,4,52,0
20221114,5,49,3
20221114,6,166,1
20221114,7,638,16
20221114,8,815,32
20221114,9,674,33
20221114,10,572,13
20221114,11,787,21
20221114,12,884,19
20221114,13,900,20
20221114,14,898,30
20221114,15,726,23
20221114,16,850,24
20221114,17,1086,22
20221114,18,954,24
20221114,19,588,18
20221114,20,525,9
20221114,21,499,7
20221114,22,325,4
20221114,23,177,3
